Reconciliation ID,DOC-REQ ID,Stage 0 REQ ID,Modul,Role Laporan,Role Implementasi,Requirement Laporan,Requirement As-Built,Status,Penjelasan Perbedaan,Report Evidence,Source Evidence,Recommendation
"REC-011","—","REQ-USR-005","Manajemen Pengguna","—","ADM","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan Admin mengimpor pengguna dari spreadsheet sesuai tipe.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`app/Imports/*Import.php`; routes user import","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-012","—","REQ-USR-006","Manajemen Pengguna","—","ADM","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus menyediakan template import pengguna yang sesuai schema import.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`app/Exports/Templates/`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-013","DOC-REQ-036","REQ-USR-007","Manajemen Pengguna","Guest, Admin","ADM","Sistem harus menyediakan pemulihan akun dan pengelolaan tiket recovery.","Sistem harus memungkinkan Admin memproses dan meninjau tiket recovery.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-036 (hlm. 61; 102; 174)","`AdminRecoveryTicketController.php`","Pertahankan sebagai kandidat baseline final."
"REC-014","DOC-REQ-033","REQ-ORG-001","Organisasi & Data Induk","Admin","ADM","Sistem harus menyediakan pengelolaan data cabang.","Sistem harus memungkinkan Admin mengelola cabang.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-033 (hlm. 54; 96)","`CabangController.php`","Pertahankan sebagai kandidat baseline final."
"REC-015","DOC-REQ-005","REQ-ORG-002","Organisasi & Data Induk","Admin","ADM, WKA","Admin harus dapat mengelola tahun ajaran, kelas, penempatan siswa, wali kelas, serta penugasan Guru Pengajar per kelas/mapel.","Sistem harus memungkinkan pengelola mengelola dan mengaktifkan tahun ajaran sesuai akses.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-005 (hlm. 11; 14; 20)","TahunAjaran controllers/model","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-016","DOC-REQ-005","REQ-ORG-003","Organisasi & Data Induk","Admin","ADM, WKA","Admin harus dapat mengelola tahun ajaran, kelas, penempatan siswa, wali kelas, serta penugasan Guru Pengajar per kelas/mapel.","Sistem harus memungkinkan pengelola mengelola kelas per cabang dan tahun ajaran.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-005 (hlm. 11; 14; 20)","Kelas controllers/import","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-017","DOC-REQ-005","REQ-ORG-004","Organisasi & Data Induk","Admin","ADM, WKA","Admin harus dapat mengelola tahun ajaran, kelas, penempatan siswa, wali kelas, serta penugasan Guru Pengajar per kelas/mapel.","Sistem harus memungkinkan pengelola menambah atau mengeluarkan siswa dari kelas.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-005 (hlm. 11; 14; 20)","Kelas/ManajemenSiswa controllers","Pertahankan sebagai kandidat baseline final."
"REC-018","DOC-REQ-005","REQ-ORG-005","Organisasi & Data Induk","Admin","ADM, WKA","Admin harus dapat mengelola tahun ajaran, kelas, penempatan siswa, wali kelas, serta penugasan Guru Pengajar per kelas/mapel.","Sistem harus memungkinkan pengelola menetapkan wali kelas yang memenuhi scope.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-005 (hlm. 11; 14; 20)","WaliKelas controllers; `WaliKelasAssignment`","Pertahankan sebagai kandidat baseline final."
"REC-019","DOC-REQ-049","REQ-ORG-006","Organisasi & Data Induk","Orang Tua/Wali Siswa","ADM, WKA","Sistem harus menautkan akun Orang Tua ke satu/lebih Siswa dengan atribut tanggung jawab keuangan dan akses akademik.","Sistem harus memungkinkan pengelola menautkan dan melepas relasi siswa-orang tua.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-049 (hlm. 139)","ManajemenSiswa controllers; `StudentParent`","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-020","—","REQ-ORG-007","Organisasi & Data Induk","—","ADM, WKA","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus menyediakan pencarian, detail, daftar kelas, kartu dan cetak data siswa.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","ManajemenSiswa controllers/views","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-021","DOC-REQ-055","REQ-AKD-001","Perencanaan Akademik","Admin, Waka","ADM, WKA","Sistem harus menyediakan pengelolaan mata pelajaran sebagai dasar jadwal dan ruang pembelajaran.","Sistem harus memungkinkan pengelola mengelola mata pelajaran.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-055 (hlm. 57; 99; 140)","MataPelajaran controllers/import","Pertahankan sebagai kandidat baseline final."
"REC-022","DOC-REQ-006","REQ-AKD-002","Perencanaan Akademik","Admin, Wali Kelas, Guru, Siswa","ADM, WKA","Admin mengatur jadwal; Wali/Siswa melihat jadwal kelas; Guru melihat jadwal dan kelas/mapel yang diampu.","Sistem harus memungkinkan pengelola membuat dan mengubah jadwal multi-kelas.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-006 (hlm. 14; 17–20)","JadwalPelajaran controllers/model","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-023","—","REQ-AKD-003","Perencanaan Akademik","—","ADM, WKA","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan pengelola mengimpor atau menduplikasi jadwal.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","Jadwal controllers; `JadwalPelajaranImport`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-024","—","REQ-AKD-004","Perencanaan Akademik","—","ADM, WKA","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan pengelola mengganti guru jadwal satuan atau massal dengan jejak perubahan.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","Jadwal controllers; History model","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-025","DOC-REQ-006","REQ-AKD-005","Perencanaan Akademik","Admin, Wali Kelas, Guru, Siswa","ADM, WKA, WKL, GRU, SIS","Admin mengatur jadwal; Wali/Siswa melihat jadwal kelas; Guru melihat jadwal dan kelas/mapel yang diampu.","Sistem harus menyediakan cetak/export jadwal sesuai data yang boleh dilihat pengguna.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-006 (hlm. 14; 17–20)","routes/controllers/views jadwal","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-026","DOC-REQ-005","REQ-AKD-006","Perencanaan Akademik","Admin","ADM, WKA","Admin harus dapat mengelola tahun ajaran, kelas, penempatan siswa, wali kelas, serta penugasan Guru Pengajar per kelas/mapel.","Sistem harus menurunkan assignment guru-kelas-mapel dari jadwal.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-005 (hlm. 11; 14; 20)","GuruPengajar controllers","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-027","—","REQ-AKD-007","Perencanaan Akademik","—","ADM, WKA","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan pengelola mengatur interval istirahat.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","PengaturanIstirahat controllers","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-028","DOC-REQ-006","REQ-AKD-008","Perencanaan Akademik","Admin, Wali Kelas, Guru, Siswa","WKL","Admin mengatur jadwal; Wali/Siswa melihat jadwal kelas; Guru melihat jadwal dan kelas/mapel yang diampu.","Sistem harus memungkinkan Wali Kelas melihat dan mencetak jadwal kelas yang diwalikan.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-006 (hlm. 14; 17–20)","WaliKelas/JadwalPelajaranController","Pertahankan sebagai kandidat baseline final."
"REC-029","DOC-REQ-006","REQ-AKD-009","Perencanaan Akademik","Admin, Wali Kelas, Guru, Siswa","GRU","Admin mengatur jadwal; Wali/Siswa melihat jadwal kelas; Guru melihat jadwal dan kelas/mapel yang diampu.","Sistem harus memungkinkan Guru melihat kelas, mapel, dan jadwal aktif yang diampu.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-006 (hlm. 14; 17–20)","GuruKelas/GuruJadwal controllers","Pertahankan sebagai kandidat baseline final."
"REC-030","—","REQ-AKD-010","Perencanaan Akademik","—","ADM","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus menyediakan laporan/cetak akademik dari data aktual.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`CetakLaporanController.php`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-031","DOC-REQ-039, DOC-REQ-054","REQ-KON-001","Konten & Informasi","Admin, Sekretaris; Publik, Admin, Sekretaris, Siswa","ADM, SEK, SIS","Sistem harus menyajikan konten publik/internal dengan status, periode, audience, dan visibilitas yang sesuai. / Sistem harus menyediakan pengelolaan kalender, pengumuman, berita, dan flyer.","Sistem harus memungkinkan pengelola mengelola kalender dan siswa melihat agenda yang dipublikasikan.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-039 (hlm. 65; 106; 168–170); DOC-REQ-054 (hlm. 168–171)","Akademik/Sekretaris/Siswa controllers","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-032","DOC-REQ-039, DOC-REQ-054","REQ-KON-002","Konten & Informasi","Admin, Sekretaris; Publik, Admin, Sekretaris, Siswa","ADM, SEK, SIS","Sistem harus menyajikan konten publik/internal dengan status, periode, audience, dan visibilitas yang sesuai. / Sistem harus menyediakan pengelolaan kalender, pengumuman, berita, dan flyer.","Sistem harus memungkinkan pengelola mengelola pengumuman dan siswa membacanya.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-039 (hlm. 65; 106; 168–170); DOC-REQ-054 (hlm. 168–171)","controllers; `NotificationService`","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-033","DOC-REQ-039, DOC-REQ-054","REQ-KON-003","Konten & Informasi","Admin, Sekretaris; Publik, Admin, Sekretaris, Siswa","ADM, SEK, Publik","Sistem harus menyajikan konten publik/internal dengan status, periode, audience, dan visibilitas yang sesuai. / Sistem harus menyediakan pengelolaan kalender, pengumuman, berita, dan flyer.","Sistem harus memungkinkan pengelola menerbitkan berita untuk dibaca publik.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-039 (hlm. 65; 106; 168–170); DOC-REQ-054 (hlm. 168–171)","controllers berita/model","Pertahankan sebagai kandidat baseline final."
"REC-034","DOC-REQ-039, DOC-REQ-054","REQ-KON-004","Konten & Informasi","Admin, Sekretaris; Publik, Admin, Sekretaris, Siswa","ADM, SEK, Publik","Sistem harus menyajikan konten publik/internal dengan status, periode, audience, dan visibilitas yang sesuai. / Sistem harus menyediakan pengelolaan kalender, pengumuman, berita, dan flyer.","Sistem harus memungkinkan pengelola mengelola flyer publik.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-039 (hlm. 65; 106; 168–170); DOC-REQ-054 (hlm. 168–171)","controllers flyer","Pertahankan sebagai kandidat baseline final."
"REC-035","DOC-REQ-035","REQ-KON-005","Konten & Informasi","Admin","ADM","Sistem harus menyediakan CMS landing page beserta section dan visibilitasnya.","Sistem harus memungkinkan Admin mengubah section dan media landing page.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-035 (hlm. 60; 102; 170–171)","LandingPage controller/models","Pertahankan sebagai kandidat baseline final."
"REC-036","DOC-REQ-054","REQ-KON-006","Konten & Informasi","Publik, Admin, Sekretaris, Siswa","Publik","Sistem harus menyajikan konten publik/internal dengan status, periode, audience, dan visibilitas yang sesuai.","Sistem harus menyajikan halaman profil/program/informasi, berita dan sitemap tanpa login.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-054 (hlm. 168–171)","public routes/controllers","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-037","DOC-REQ-007","REQ-KEU-001","Keuangan","Admin","ADM, BEN","Admin harus dapat membuat dan mengelola tagihan siswa untuk SPP, ujian, dan kegiatan.","Sistem harus memungkinkan pengelola membuat dan mengelola tagihan siswa.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-007 (hlm. 11; 15–16)","Tagihan controllers/model","Pertahankan sebagai kandidat baseline final."
"REC-038","DOC-REQ-007","REQ-KEU-002","Keuangan","Admin","ADM, BEN","Admin harus dapat membuat dan mengelola tagihan siswa untuk SPP, ujian, dan kegiatan.","Sistem harus memungkinkan pengelola menghasilkan SPP massal tanpa duplikasi yang dilarang.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-007 (hlm. 11; 15–16)","Tagihan controllers; NotificationService","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-039","—","REQ-KEU-003","Keuangan","—","ADM, BEN","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan import, export dan cetak tagihan.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`TagihanImport`; Tagihan controllers","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-040","DOC-REQ-056","REQ-KEU-004","Keuangan","Admin, Bendahara","ADM, BEN","Sistem harus mempertahankan jejak pengalihan tunggakan antartahun ajaran.","Sistem harus memungkinkan tunggakan lama dialihkan ke tahun aktif dengan traceability.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-056 (hlm. 165)","`TunggakanCarryoverService`","Pertahankan sebagai kandidat baseline final."
"REC-041","DOC-REQ-008","REQ-KEU-005","Keuangan","Admin, Siswa","ADM, BEN","Siswa mengunggah bukti pembayaran manual dan Admin mengonfirmasi atau menolaknya.","Sistem harus memungkinkan pengelola mencatat pembayaran manual.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-008 (hlm. 11; 16; 18–20)","Pembayaran controllers","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-042","DOC-REQ-008","REQ-KEU-006","Keuangan","Admin, Siswa","ADM, BEN","Siswa mengunggah bukti pembayaran manual dan Admin mengonfirmasi atau menolaknya.","Sistem harus memungkinkan pengelola menyetujui atau menolak pembayaran pending.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-008 (hlm. 11; 16; 18–20)","Pembayaran controllers; AuditLog","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-043","DOC-REQ-030, DOC-REQ-050","REQ-KEU-007","Keuangan","Orang Tua/Wali Siswa; Siswa","ORT","Orang Tua/Wali Siswa dapat melakukan pembayaran anak melalui manual/Midtrans dan tercatat sebagai pembayar. / Siswa harus dapat melihat tagihan, mengunggah bukti, dan melihat status/riwayat pembayaran.","Sistem harus memungkinkan orang tua mengajukan transfer untuk tagihan anak tertaut.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-030 (hlm. 13; 16; 19–20); DOC-REQ-050 (hlm. 86; 126; 165–166)","`OrangTuaController@prosesBayar/processBulkPay`","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-044","DOC-REQ-031, DOC-REQ-050","REQ-KEU-008","Keuangan","Orang Tua/Wali Siswa; Siswa, Sistem","ORT","Orang Tua/Wali Siswa dapat melakukan pembayaran anak melalui manual/Midtrans dan tercatat sebagai pembayar. / Sistem harus mendukung Midtrans dan memperbarui status otomatis ketika transaksi berhasil.","Sistem harus memungkinkan orang tua membayar satu/lebih tagihan anak dengan Midtrans ketika aktif.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-031 (hlm. 11; 16; 22); DOC-REQ-050 (hlm. 86; 126; 165–166)","`MidtransService`; parent controller","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-045","DOC-REQ-031","REQ-KEU-009","Keuangan","Siswa, Sistem","Sistem","Sistem harus mendukung Midtrans dan memperbarui status otomatis ketika transaksi berhasil.","Sistem harus menyinkronkan status Midtrans dari webhook/API otoritatif.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-031 (hlm. 11; 16; 22)","`MidtransWebhookController`; payment tests","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-046","DOC-REQ-050","REQ-KEU-010","Keuangan","Orang Tua/Wali Siswa","ADM, BEN","Orang Tua/Wali Siswa dapat melakukan pembayaran anak melalui manual/Midtrans dan tercatat sebagai pembayar.","Sistem harus memungkinkan pengelola mengatur kanal rekening, tunai dan Midtrans.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-050 (hlm. 86; 126; 165–166)","InfoPembayaran controller/model/view","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-047","DOC-REQ-040","REQ-KEU-011","Keuangan","Admin, Bendahara","ADM, BEN","Sistem harus menyediakan laporan keuangan dan audit perubahan transaksi.","Sistem harus menyediakan laporan keuangan yang dapat difilter dan dicetak.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-040 (hlm. 67; 108; 167)","Laporan controllers; filter tests","Pertahankan sebagai kandidat baseline final."
"REC-048","DOC-REQ-030","REQ-KEU-012","Keuangan","Siswa","SIS","Siswa harus dapat melihat tagihan, mengunggah bukti, dan melihat status/riwayat pembayaran.","Sistem harus memungkinkan Siswa melihat tagihan dan riwayat pembayaran miliknya secara read-only.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-030 (hlm. 13; 16; 19–20)","`SiaPembayaranController.php`; `routes/web.php:1440-1449`","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-049","DOC-REQ-021","REQ-PRS-001","Presensi & Izin","Wali Kelas","WKL","Wali Kelas harus dapat menginput atau memperbarui presensi manual siswa.","Sistem harus memungkinkan Wali Kelas mencatat dan memperbarui presensi siswa kelasnya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-021 (hlm. 11; 15; 18; 21)","`WaliKelas/PresensiController.php`","Pertahankan sebagai kandidat baseline final."
"REC-050","DOC-REQ-022","REQ-PRS-002","Presensi & Izin","Wali Kelas, Siswa","WKL","Sistem harus menyediakan rekap/riwayat presensi untuk Wali Kelas dan Siswa terkait.","Sistem harus menyediakan riwayat, rekap, cetak dan import presensi kelas.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-022 (hlm. 10–11; 13; 15)","PresensiController/views","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-051","DOC-REQ-020, DOC-REQ-051","REQ-PRS-003","Presensi & Izin","Orang Tua/Wali Siswa; Siswa, Wali Kelas","ORT","Orang Tua/Wali Siswa dapat mengajukan izin/dispensasi untuk anak. / Siswa mengunggah bukti izin/sakit dan Wali Kelas memvalidasinya secara online.","Sistem harus memungkinkan orang tua mengajukan/mengubah izin anak tertaut.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-020 (hlm. 10–11; 13; 15; 19; 21); DOC-REQ-051 (hlm. 87; 127)","parent presensi methods","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-052","DOC-REQ-020","REQ-PRS-004","Presensi & Izin","Siswa, Wali Kelas","WKL","Siswa mengunggah bukti izin/sakit dan Wali Kelas memvalidasinya secara online.","Sistem harus memungkinkan Wali Kelas memvalidasi izin siswa kelasnya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-020 (hlm. 10–11; 13; 15; 19; 21)","PresensiController; IDOR test","Pertahankan sebagai kandidat baseline final."
"REC-053","DOC-REQ-022, DOC-REQ-049","REQ-PRS-005","Presensi & Izin","Orang Tua/Wali Siswa; Wali Kelas, Siswa","SIS, ORT","Sistem harus menautkan akun Orang Tua ke satu/lebih Siswa dengan atribut tanggung jawab keuangan dan akses akademik. / Sistem harus menyediakan rekap/riwayat presensi untuk Wali Kelas dan Siswa terkait.","Sistem harus menampilkan riwayat presensi hanya kepada siswa terkait dan orang tua tertaut.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-022 (hlm. 10–11; 13; 15); DOC-REQ-049 (hlm. 139)","SiaPresensi/OrangTua controllers","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-054","DOC-REQ-017","REQ-NIL-001","Penilaian","Guru","GRU","Guru harus dapat menilai penugasan dan ujian serta memberi umpan balik; ujian semester memiliki komponen tertulis dan proyek.","Sistem harus memungkinkan Guru mengelola nilai pada kelas/mapel yang diampu.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-017 (hlm. 12; 15; 21)","GuruNilaiController; decimal/IDOR tests","Pertahankan sebagai kandidat baseline final."
