"Formal Req ID","Modul","Role","Formal Business Requirement","Child Stage 0 Requirement IDs","Acceptance Summary","Classification"
"FR-015","PRS","Wali Kelas; Orang Tua; Siswa","Sistem mengelola presensi, pengajuan izin, validasi, dan riwayat pihak terkait.","REQ-PRS-001, REQ-PRS-002, REQ-PRS-003, REQ-PRS-004, REQ-PRS-005","Assignment/ownership/bukti/status diperiksa.","NEED CONFIRMATION"
"FR-016","NIL","Guru; Wali Kelas; Siswa; Orang Tua; Sistem","Sistem mengelola, menyinkronkan, mengoreksi, mencetak, dan menampilkan nilai sesuai scope.","REQ-NIL-001, REQ-NIL-002, REQ-NIL-003, REQ-NIL-004, REQ-NIL-005","Nilai valid, ter-scope, dan tersinkron.","CORE"
"FR-017","RAP","Wali Kelas","Wali menghasilkan, mengisi, memformat, menerbitkan, dan menarik rapor terstruktur.","REQ-RAP-001, REQ-RAP-002, REQ-RAP-003","Nilai/presensi tertaut dan state transition valid.","NEED CONFIRMATION"
"FR-018","RAP","Wali Kelas; Ketua; Orang Tua","Sistem menjalankan validasi Ketua, request/token unduh, dan arsip historis.","REQ-RAP-004, REQ-RAP-005, REQ-RAP-006, REQ-RAP-007","Status, token, ownership, dan read-only archive dipatuhi.","NEED CONFIRMATION"
"FR-019","LMS","Guru; Siswa","Guru dan Siswa menjalankan siklus ruang kelas, materi, tugas, submission, dan koreksi.","REQ-LMS-001, REQ-LMS-002, REQ-LMS-003, REQ-LMS-004, REQ-LMS-005","Assignment/LMS/tenggat/file diperiksa.","CORE"
"FR-020","LMS","Guru; Siswa; Sistem","Sistem menjalankan ujian/latihan, bank soal/AI, attempt, hasil, retake, dan pengawasan.","REQ-LMS-006, REQ-LMS-007, REQ-LMS-008, REQ-LMS-009, REQ-LMS-010, REQ-LMS-011, REQ-LMS-012","Waktu/attempt/akses valid; hasil tersimpan; output AI direview.","CORE"
"FR-021","LMS","Guru; Siswa","Sistem menyediakan forum diskusi dan kelas virtual per kelas-mapel.","REQ-LMS-013, REQ-LMS-014","Scope, reply, link, dan jadwal valid.","CORE"
"FR-022","LMS","Guru","Guru menyalin konten historis yang pernah diampu ke assignment aktif.","REQ-LMS-015","Sumber/target diotorisasi dan copy konsisten.","ITERATIVE ADDITION"
"FR-023","PRM","Admin; Waka; Wali Kelas; Bendahara; Ketua; Sistem","Sistem menjalankan workflow kenaikan kelas end-to-end.","REQ-PRM-001, REQ-PRM-002, REQ-PRM-003, REQ-PRM-004, REQ-PRM-005, REQ-PRM-006, REQ-PRM-007","Readiness/state/role/history/rollback/scheduler terkontrol.","ITERATIVE ADDITION"
"FR-024","MON","Admin; Ketua; Waka; Guru","Pimpinan memonitor organisasi/LMS dan mengirim catatan; Guru membacanya.","REQ-MON-001, REQ-MON-002, REQ-MON-003, REQ-MON-004","Scope, preview, penerima, dan read state valid.","SUPPORTING"
"FR-025","NOT","Semua login; Sistem","Sistem menyediakan pusat notifikasi, status baca/hapus, dan reminder.","REQ-NOT-001, REQ-NOT-002, REQ-NOT-003","Ownership dan duplicate guard dipatuhi.","SUPPORTING"
"FR-026","SWA","Siswa","Sistem menyediakan portal SIA/LMS dan informasi pribadi sesuai status; alumni read-only.","REQ-SWA-001, REQ-SWA-002, REQ-SWA-003","Profil/status/jenjang menentukan akses dan data hanya milik login.","CORE"
"FR-027","WLS","Orang Tua/Wali Siswa","Sistem menyediakan dashboard anak, keuangan, presensi/izin, rapor, dan request unduh.","REQ-WLS-001, REQ-WLS-002, REQ-WLS-003, REQ-WLS-004","Seluruh object melewati child ownership dan state workflow.","NEED CONFIRMATION"
